Name,Abbr,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jack Aiken,AIK,williams,,,,,,,,,,,,,,,,,,,,,,,,22,
Christijan Albers,ALB,forceindia,,,,,,,,,19,22,25,,,,,,,,,,,,,,
Alexander Albon,ALB,redbull,,,,,,,,,,,,,,,,,,,,,,,8,7,
Jean Alesi,ALE,ferrari,4,11,15,,15,,,,,,,,,,,,,,,,,,,,
Jaime Alguersuari,ALG,tororosso,,,,,,,,,,,,,24,19,14,,,,,,,,,,
Fernando Alonso,ALO,ferrari,,,,,23,,6,4,1,1,3,5,9,2,4,2,2,6,17,10,15,11,,,10
Luca Badoer,BAD,ferrari,,,,,,,,,,,,,25,,,,,,,,,,,,
Rubens Barrichello,BAR,ferrari,13,12,7,4,3,2,4,2,8,7,20,14,3,10,17,,,,,,,,,,
Zsolt Baumgartner,BAU,tororosso,,,,,,,24,20,,,,,,,,,,,,,,,,,
Gerhard Berger,BER,ferrari,5,,,,,,,,,,,,,,,,,,,,,,,,
Enrique Bernoldi,BER,arrows,,,,,21,22,,,,,,,,,,,,,,,,,,,
Jules Bianchi,BIA,marussia,,,,,,,,,,,,,,,,,19,17,,,,,,,
Valtteri Bottas,BOT,mercedes,,,,,,,,,,,,,,,,,17,4,5,8,3,5,2,2,3
Sebastien Bourdais,BOU,tororosso,,,,,,,,,,,,17,19,,,,,,,,,,,,
Gianmaria Bruni,BRU,tororosso,,,,,,,,25,,,,,,,,,,,,,,,,,
Sebastien Buemi,BUE,tororosso,,,,,,,,,,,,,16,16,15,,,,,,,,,,
Luciano Burti,BUR,prost,,,,,20,,,,,,,,,,,,,,,,,,,,
Jenson Button,BUT,mclaren,,,,8,17,7,9,3,9,6,15,18,1,5,2,5,9,8,16,15,,,,,
Karun Chandhok,CHA,hrt,,,,,,,,,,,,,,22,28,,,,,,,,,,
Max Chilton,CHI,marussia,,,,,,,,,,,,,,,,,23,21,,,,,,,
David Coulthard,COU,mclaren,3,3,4,3,2,5,7,10,12,13,10,16,,,,,,,,,,,,,
Jerome d'Ambrosio,DAM,marussia,,,,,,,,,,,,,,,24,23,,,,,,,,,
Cristiano da Matta,DAM,toyota,,,,,,,13,17,,,,,,,,,,,,,,,,,
Anthony Davidson,DAV,superaguri,,,,,,,,,,,23,22,,,,,,,,,,,,,
Pedro de la Rosa,DLR,redbull,,,18,16,16,21,,,20,11,,,,17,20,25,,,,,,,,,
Lucas di Grassi,DIG,marussia,,,,,,,,,,,,,,24,,,,,,,,,,,
Pedro Diniz,DIN,sauber,16,14,14,,,,,,,,,,,,,,,,,,,,,,
